sale_year,median_price,transaction_count,type_encoded,small_area_encoded
2000,316250.0,116,0,0
2000,220000.0,309,1,0
2000,622500.0,42,0,2
2000,295000.0,139,1,2
2000,215250.0,258,0,3
2000,767500.0,3,0,4
2000,276000.0,1065,1,4
2000,284500.0,57,1,5
2000,280000.0,115,0,6
2000,231300.0,168,1,7
2000,767500.0,39,0,8
2000,210000.0,157,1,8
2000,322000.0,34,0,10
2001,790000.0,42,0,2
2001,320000.0,204,1,2
2001,282750.0,315,0,3
2001,270000.0,211,1,3
2001,307500.0,2293,1,4
2001,256000.0,99,1,7
2001,395000.0,1184,1,9
2002,349250.0,297,1,0
2002,925000.0,50,0,2
2002,399000.0,490,1,2
2002,693750.0,31,0,7
2002,460500.0,1095,1,9
2003,477750.0,101,0,0
2003,623975.0,28,0,2
2003,358500.0,208,0,3
2003,395000.0,125,0,6
2003,298000.0,234,1,6
2003,282500.0,75,1,7
2003,800000.0,37,0,8
2003,267500.0,158,1,8
2004,410000.0,79,0,0
2004,330000.0,166,1,2
2004,767500.0,2,0,4
2004,317775.0,923,1,4
2004,310000.0,200,1,6
2004,795000.0,56,0,7
2004,280000.0,45,1,7
2004,1170000.0,41,0,8
2004,305000.0,126,1,8
2004,375000.0,37,0,10
2004,350000.0,74,1,10
2005,785000.0,52,0,2
2005,767500.0,2,0,4
2005,445000.0,156,0,6
2005,845000.0,66,0,7
2005,870000.0,43,0,8
2005,422500.0,42,0,10
2006,445000.0,101,0,0
2006,332500.0,208,1,0
2006,296250.0,92,1,3
2006,307775.0,60,1,7
2007,565000.0,653,1,1
2007,420000.0,327,1,2
2007,349000.0,157,1,3
2007,767500.0,4,0,4
2007,350000.0,1725,1,4
2007,565000.0,159,0,6
2007,375000.0,91,1,7
2007,1510000.0,37,0,8
2007,439000.0,1376,1,9
2008,355000.0,211,1,0
2008,402500.0,178,1,2
2008,362500.0,169,1,3
2008,378000.0,1879,1,4
2008,373950.0,253,1,6
2008,470000.0,1031,1,9
2008,580000.0,27,0,10
2008,449000.0,181,1,10
2009,1750000.0,56,0,2
2009,537500.0,253,1,2
2009,378000.0,239,1,3
2009,767500.0,2,0,4
2009,580000.0,139,1,5
2009,1750000.0,39,0,8
2009,485000.0,153,1,8
2009,886000.0,19,0,9
2009,727750.0,23,0,10
2010,865000.0,80,0,0
2010,1450000.0,57,0,1
2010,610000.0,851,1,1
2010,605000.0,190,1,2
2010,446000.0,210,1,3
2010,457000.0,3766,1,4
2010,430750.0,224,1,6
2010,516000.0,215,1,7
2010,575000.0,2109,1,9
2011,845000.0,61,0,0
2011,604450.0,772,1,1
2011,480000.0,139,1,2
2011,620500.0,216,0,3
2011,420000.0,158,1,3
2011,464000.0,2437,1,4
2011,724750.0,110,0,6
2011,497000.0,127,1,7
2011,580000.0,1342,1,9
2012,726000.0,70,0,0
2012,460000.0,661,1,0
2012,1900000.0,12,0,1
2012,1600000.0,35,0,2
2012,609500.0,194,0,3
2012,410000.0,117,1,3
2012,478000.0,2208,1,4
2012,575000.0,76,1,5
2012,700000.0,121,0,6
2012,487000.0,97,1,7
2012,540000.0,1185,1,9
2013,680000.0,201,1,2
2013,416500.0,110,1,3
2013,767500.0,8,0,4
2013,730000.0,252,1,5
2013,586000.0,113,1,8
2013,578000.0,1462,1,9
2013,441250.0,252,1,10
2014,501500.0,533,1,0
2014,895000.0,12,0,1
2014,580000.0,1098,1,1
2014,1900000.0,53,0,2
2014,522250.0,2857,1,4
2014,725000.0,165,1,5
2014,651000.0,153,1,8
2014,767500.0,2,0,9
2014,850000.0,27,0,10
2015,432500.0,277,1,0
2015,1880000.0,11,0,1
2015,576500.0,608,1,1
2015,1825000.0,37,0,2
2015,677500.0,152,1,2
2015,770000.0,176,0,3
2015,435000.0,115,1,3
2015,575500.0,64,1,5
2015,900000.0,107,0,6
2015,1238000.0,39,0,7
2015,2100000.0,33,0,8
2015,912500.0,33,0,10
2015,540300.0,163,1,10
2016,1110000.0,57,0,0
2016,591000.0,371,1,1
2016,818750.0,172,0,3
2016,430000.0,128,1,3
2016,582500.0,80,1,5
2016,900000.0,26,0,10
2000,487300.0,556,1,1
2000,516000.0,42,0,7
2000,370500.0,901,1,9
2001,381000.0,113,0,0
2001,767500.0,4,0,4
2001,325500.0,169,0,6
2001,270000.0,271,1,6
2001,354000.0,36,0,7
2001,800000.0,46,0,8
2001,323000.0,50,0,10
2002,342050.0,197,0,3
2002,767500.0,4,0,4
2002,367562.0,44,1,5
2002,351000.0,148,0,6
2002,307500.0,224,1,6
2002,247000.0,88,1,7
2002,870000.0,43,0,8
2002,330000.0,197,1,8
2002,422000.0,69,0,10
2002,335000.0,104,1,10
2003,0.0,288,1,3
2003,298200.0,1367,1,4
2003,355000.0,39,1,5
2003,713500.0,32,0,7
2003,375000.0,72,0,10
2004,315000.0,201,1,0
2004,445000.0,252,1,1
2004,355000.0,194,0,3
2004,405000.0,67,1,5
2004,345000.0,445,1,9
2005,440000.0,87,0,0
2005,400000.0,152,0,3
2005,300750.0,96,1,3
2005,317500.0,1119,1,4
2005,294444.0,139,1,8
2005,370000.0,535,1,9
2005,365000.0,73,1,10
2006,1150000.0,59,0,2
2006,455000.0,83,1,5
2006,463500.0,138,0,6
2006,812500.0,68,0,7
2006,1081500.0,56,0,8
2006,422000.0,817,1,9
2006,530000.0,33,0,10
2007,1562500.0,64,0,2
2007,502000.0,191,0,3
2007,752500.0,132,0,7
2007,482500.0,170,1,8
2007,767500.0,3,0,9
2008,490000.0,72,0,0
2008,492500.0,124,1,5
2008,385500.0,62,1,7
2008,1917500.0,30,0,8
2008,485850.0,118,1,8
2009,607500.0,66,0,0
2009,460000.0,255,1,0
2009,550000.0,221,0,3
2009,337000.0,179,0,6
2009,415000.0,392,1,6
2009,675000.0,53,0,7
2010,640500.0,218,0,3
2010,767500.0,4,0,4
2010,720000.0,123,0,6
2010,14300000.0,33,0,9
2011,520000.0,625,1,0
2011,2302000.0,17,0,1
2011,1352500.0,30,0,2
2011,631250.0,68,1,5
2011,975000.0,34,0,7
2011,535000.0,90,1,8
2011,481000.0,301,1,10
2012,580000.0,590,1,1
2012,767500.0,2,0,4
2012,1180000.0,25,0,7
2012,1650000.0,30,0,8
2012,530000.0,113,1,8
2013,870000.0,82,0,0
2013,619500.0,800,1,1
2013,1850000.0,49,0,2
2013,663370.0,211,0,3
2013,495000.0,2915,1,4
2013,681000.0,143,0,6
2013,487500.0,619,1,6
2013,1735000.0,24,0,8
2013,933000.0,35,0,10
2014,603500.0,178,1,2
2014,662000.0,187,0,3
2014,415000.0,136,1,3
2014,767500.0,4,0,4
2014,800000.0,92,0,6
2014,520000.0,619,1,6
2014,2605000.0,36,0,8
2014,460000.0,380,1,10
2015,952500.0,86,0,0
2015,502750.0,294,1,6
2015,478750.0,64,1,7
2015,545000.0,129,1,8
2015,540000.0,799,1,9
2016,508000.0,162,1,0
2016,767500.0,5,0,1
2016,861000.0,87,0,6
2016,555000.0,88,1,8
2016,475000.0,115,1,10
2000,232500.0,46,1,3
2000,172500.0,196,1,6
2000,240300.0,66,1,10
2001,273000.0,366,1,0
2001,525375.0,766,1,1
2001,355000.0,63,1,5
2001,245750.0,187,1,8
2001,292500.0,145,1,10
2002,420000.0,108,0,0
2002,502000.0,755,1,1
2002,285000.0,121,1,3
2002,299500.0,1473,1,4
2003,296500.0,225,1,0
2003,1.0,849,1,1
2003,410000.0,185,1,2
2003,0.0,27,0,4
2003,393000.0,491,1,9
2003,395000.0,181,1,10
2004,745000.0,53,0,2
2004,295500.0,118,1,3
2004,370000.0,110,0,6
2005,300000.0,170,1,0
2005,480000.0,250,1,1
2005,337500.0,172,1,2
2005,361000.0,71,1,5
2005,266000.0,164,1,6
2005,295000.0,71,1,7
2006,535450.0,427,1,1
2006,354000.0,178,1,2
2006,421000.0,143,0,3
2006,767500.0,2,0,4
2006,332000.0,1199,1,4
2006,295000.0,158,1,6
2006,364000.0,134,1,8
2006,380000.0,81,1,10
2007,632500.0,108,0,0
2007,395000.0,291,1,0
2007,1532000.0,32,0,1
2007,500000.0,153,1,5
2007,335000.0,285,1,6
2007,646000.0,48,0,10
2007,435000.0,171,1,10
2008,3260600.0,20,0,1
2008,502000.0,654,1,1
2008,1868397.5,30,0,2
2008,493000.0,213,0,3
2008,767500.0,5,0,4
2008,537500.0,134,0,6
2008,590000.0,68,0,7
2009,767500.0,3,0,1
2009,541000.0,779,1,1
2009,395000.0,1863,1,4
2009,400000.0,79,1,7
2009,518800.0,1121,1,9
2009,460000.0,108,1,10
2010,430000.0,274,1,0
2010,1575000.0,39,0,2
2010,588000.0,68,1,5
2010,1012500.0,32,0,7
2010,1890750.0,34,0,8
2010,480000.0,115,1,8
2010,694000.0,50,0,10
2010,502500.0,164,1,10
2011,767500.0,3,0,4
2011,438000.0,208,1,6
2011,932500.0,32,0,8
2011,767500.0,1,0,9
2011,1032500.0,27,0,10
2012,524000.0,148,1,2
2012,431500.0,226,1,6
2012,607500.0,42,0,10
2012,419000.0,319,1,10
2013,460500.0,534,1,0
2013,767500.0,4,0,1
2013,1012000.0,33,0,7
2013,0.0,353,1,7
2013,767500.0,3,0,9
2014,876000.0,68,0,0
2014,0.0,86,0,7
2014,0.0,162,1,7
2014,530000.0,995,1,9
2015,767500.0,1,0,4
2015,479000.0,1559,1,4
2015,767500.0,3,0,9
2016,1940000.0,35,0,2
2016,650000.0,129,1,2
2016,767500.0,2,0,4
2016,435000.0,1264,1,4
2016,515000.0,231,1,6
2016,1761250.0,32,0,7
2016,500000.0,63,1,7
2016,2135000.0,34,0,8
2016,565000.0,701,1,9
